GEOID10,MAZ_NODE,TAZ_NODE
060014013003006,310641,300419
060014013003007,310641,300419
060014013003008,310641,300419
060014013003009,310643,300419
060014013003010,310643,300419
060014013003011,310641,300419
060014013003012,310641,300419
060014013003013,310641,300419
060014013003014,326340,300419
060014014001000,321535,300174
060014014001001,321535,300174
060014014001002,326504,300174
060014014001003,321534,300174
060014014001004,321534,300174
060014014001005,321534,300174
060014014001006,321534,300174
060014014001007,321534,300174
060014014001008,321534,300174
060014014001009,316695,300174
060014014001010,321535,300174
060014014001011,316695,300174
060014014001012,331804,300174
060014014001013,331804,300174
060014014001014,331804,300174
060014014001015,328832,300174
060014014001016,328832,300174
060014014001017,321535,300174
060014014001018,328832,300174
060014014002000,310284,300128
060014014002001,310284,300128
060014014002002,310284,300128
060014014002003,325327,300128
060014014002004,325327,300128
060014014002005,314799,300128
060014014002006,314799,300128
060014014002007,312645,300128
060014014002008,312645,300128
060014014002009,313828,300128
060014014002010,313828,300128
060014014002011,310284,300128
060014014002012,310284,300128
060014014002013,310284,300128
060014014002014,318853,300128
060014014002015,318853,300128
060014014002016,318853,300128
060014014002017,327459,300128
060014014002018,327459,300128
060014014002019,312645,300128
060014014002020,312645,300128
060014014002021,315285,300128
060014014002022,315285,300128
060014014002023,315285,300128
060014014002024,315285,300128
060014014002025,320079,300128
060014014002026,316148,300128
060014014002027,325005,300128
060014014002028,325005,300128
060014014002029,315285,300128
060014014003000,325006,300235
060014014003001,333526,300235
060014014003002,324596,300235
060014014003003,324596,300235
060014014003004,316318,300235
060014014003005,321541,300235
060014014003006,316880,300235
060014014003007,316880,300235
060014014003008,316880,300235
060014014003009,316880,300235
060014014003010,324596,300235
060014014003011,316318,300235
060014014003012,316318,300235
060014014003013,316318,300235
060014014003014,326514,300235
060014014003015,326514,300235
060014014003016,326514,300235
060014014003017,326514,300235
060014014003018,317580,300235
060014014003019,317580,300235
060014014003020,317580,300235
060014014003021,333527,300235
060014014003022,333527,300235
060014014003023,333527,300235
060014014003024,333527,300235
060014014003025,317580,300235
060014014003026,317580,300235
060014014003027,317580,300235
060014014003028,317580,300235
060014014003029,317580,300235
060014014003030,310459,300235
060014014003031,310459,300235
060014014003032,310459,300235
060014014003033,317546,300235
060014014003034,317546,300235
060014014003035,317580,300235
060014014003036,324802,300235
060014014003037,324802,300235
060014014003038,333526,300235
060014014003039,326514,300235
060014015001000,311507,300116
060014015001001,311507,300116
060014015001002,333242,300116
060014015001003,333242,300116
060014015001004,311507,300116
060014015001005,333242,300116
060014015001006,333242,300116
060014015001007,333242,300116
060014015001008,333242,300116
060014015001009,333242,300116
060014015001010,333242,300116
060014015001011,333242,300116
060014015001012,311507,300116
060014015001013,331524,300116
060014015001014,313280,300116
060014015001015,333242,300116
060014015001016,313280,300116
060014015001017,313963,300116
060014015001018,313963,300116
060014015001019,333242,300116
060014015001020,311507,300116
060014015001021,311505,300116
060014015001022,322378,300116
060014015001023,311507,300116
060014015001024,322378,300116
060014015001025,333242,300116
060014015002000,316659,300480
060014015002001,318658,300480
060014015002002,311506,300480
060014015002003,317223,300480
060014015002004,317223,300480
060014015002005,333243,300480
060014015002006,324501,300480
060014015002007,324501,300480
060014015002008,316659,300480
060014015003000,332208,300481
060014015003001,321495,300481
060014015003002,325843,300481
060014015003003,318657,300481
060014015003004,311504,300481
060014015003005,311504,300481
060014015003006,317878,300481
060014015003007,317874,300481
060014015003008,322379,300481
060014015003009,322379,300481
060014015003010,322379,300481
060014015003011,332208,300481
060014015003012,332208,300481
060014016001000,333738,300289
060014016001001,333738,300289
060014016001002,333916,300289
060014016001003,333738,300289
060014016001004,333916,300289
060014016001005,311790,300289
060014016001006,311790,300289
060014016001007,311790,300289
060014016001008,318652,300289
060014016001009,318653,300289
060014016001010,317588,300289
060014016001011,317588,300289
060014016001012,317588,300289
060014016001013,317588,300289
060014016001014,325204,300289
060014016001015,325204,300289
060014016001016,317395,300289
060014016001017,317395,300289
060014016001018,321492,300289
060014016001019,321492,300289
060014016001020,312172,300289
060014016001021,312172,300289
060014016001022,312172,300289
060014016001023,332206,300289
060014016001024,324549,300289
060014016001025,324549,300289
060014016001026,324549,300289
060014016001027,333738,300289
060014016001028,333738,300289
060014016001029,312825,300289
060014016002000,312824,300287
060014016002001,332210,300287
060014016002002,321009,300287
060014016002003,321009,300287
060014016002004,321009,300287
060014016002005,314926,300287
060014016002006,314926,300287
060014016002007,318116,300287
060014016002008,316905,300287
060014016002009,316905,300287
060014016002010,316928,300287
060014016002011,316928,300287
060014016002012,313123,300287
060014016002013,313123,300287
060014016002014,314467,300287
060014016002015,313812,300287
060014016002016,313812,300287
060014016002017,313123,300287
060014016002018,316928,300287
060014016002019,317544,300287
060014016002020,327773,300287
060014016002021,327773,300287
060014016002022,327773,300287
060014017001000,330901,300150
060014017001001,330901,300150
060014017001002,313276,300240
060014017001003,330901,300150
060014017001004,330901,300150
060014017001005,330901,300150
060014017001006,333235,300150
060014017001007,333235,300150
060014017001008,323933,300150
060014017001009,323933,300150
060014017001010,326169,300150
060014017001011,326169,300150
060014017001012,326169,300150
060014017001013,333235,300150
060014017001014,326169,300150
060014017001015,326169,300150
060014017001016,330900,300240
060014017001017,330901,300150
060014017001018,330901,300150
060014017001019,313622,300240
060014017001020,313276,300240
060014017001021,313276,300240
060014017001022,333239,300240
060014017001023,313276,300240
060014017001024,331748,300240
060014017001025,331747,300240
060014017001026,313274,300240
060014017001027,313274,300240
060014017001028,330900,300240
060014017001029,313622,300240
