tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001450200,0,0,0,0,0,0,0,0,06001,731,1.0
06001450300,0,0,0,0,0,0,0,0,06001,732,1.0
06001450400,0,0,0,0,0,0,0,0,06001,733,1.0
06001450501,0,0,0,0,0,0,0,0,06001,,
06001450502,0,0,0,0,0,0,0,0,06001,734,1.0
06001450601,0,0,0,0,0,0,0,0,06001,735,1.0
06001450603,0,0,0,0,0,0,0,0,06001,737,1.0
06001450604,0,0,0,0,0,0,0,0,06001,741,1.0
06001450605,0,0,0,0,0,0,0,0,06001,740,1.0
06001450606,0,0,0,0,0,0,0,0,06001,738,1.0
06001450607,0,0,0,0,0,0,0,0,06001,739,1.0
06001450608,0,0,0,0,0,0,0,0,06001,736,1.0
06001450609,0,0,0,0,0,0,0,0,06001,,
06001450701,0,0,0,0,0,0,0,0,06001,746,1.0
06001450741,0,0,0,0,0,0,0,0,06001,744,1.0
06001450742,0,0,0,0,0,0,0,0,06001,745,1.0
06001450743,0,0,0,0,0,0,0,0,06001,742,1.0
06001450744,0,0,0,0,0,0,0,0,06001,,
06001450745,0,0,0,0,0,0,0,0,06001,743,1.0
06001450746,0,0,0,0,0,0,0,0,06001,,
06001450750,0,0,0,0,0,0,0,0,06001,,
06001450751,0,0,0,0,0,0,0,0,06001,,
06001450752,0,0,0,0,0,0,0,0,06001,729,1.0
06001451102,0,0,0,0,0,0,0,0,06001,725,1.0
06001451103,0,0,0,0,0,0,0,0,06001,,
06001451104,0,0,0,0,0,0,0,0,06001,715,1.0
06001451201,0,0,0,0,0,0,0,0,06001,719,1.0
06001451202,0,0,0,0,0,0,0,0,06001,720,1.0
06001451300,0,0,0,0,0,0,0,0,06001,728,1.0
06001451401,0,0,0,0,0,0,0,0,06001,721,1.0
06001451403,0,0,0,0,0,0,0,0,06001,,
06001451404,0,0,0,0,0,0,0,0,06001,722,1.0
06001451501,0,0,0,0,0,0,0,0,06001,716,1.0
06001451503,0,0,0,0,0,0,0,0,06001,717,1.0
06001451504,0,0,0,0,0,0,0,0,06001,718,1.0
06001451505,0,0,0,0,0,0,0,0,06001,,
06001451506,0,0,0,0,0,0,0,0,06001,,
06001451601,0,0,0,0,0,0,0,0,06001,723,1.0
06001451602,0,0,0,0,0,0,0,0,06001,724,1.0
06001451701,0,0,0,0,0,0,0,0,06001,727,1.0
06001451703,0,0,0,0,0,0,0,0,06001,,
06001451704,0,0,0,0,0,0,0,0,06001,726,1.0
