"ZONE","SD","TOTACRE","RESACRE","CIACRE","SFDU","MFDU","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TOPOLOGY","TERMINAL","ZERO","DISTRICT","gqpop","TOTHH","HHPOP","TOTPOP","EMPRES","hhlds"
"114","3","146","48.58375","20","587","1217","0","0","3","167","0","0","1","2.43305","0","3","4","1118.0","157.24919272224378","218.3508787074914","747.0","1118.0"
"1140","22","483","299","75","1013","93","0","0","4","0","0","0","3","1.17089","0","22","6","825.0","97.26463740661515","183.26463740661515","413.0","825.0"
"1141","22","1599","787","105","2022","175","0","0","4","2011","0","0","1","1.24492","0","22","27","1628.0","190.91223027684302","197.91223027684302","896.0","1628.0"
"1142","22","1459","625","9","1403","147","0","0","4","0","0","0","1","1.02616","0","22","7","2155.0","256.4918891985057","256.4918891985057","1190.0","2155.0"
"1143","22","850","493","55","1449","627","0","0","4","0","0","0","1","1.17082","0","22","30","2912.0","307.26510092043793","455.26510092043793","1604.0","2912.0"
"1144","22","637","499","36","1061","1056","0","0","4","0","0","0","1","1.30879","0","22","4","2935.0","329.84382311260464","339.84382311260464","1705.0","2935.0"
"1145","22","544.59998","202.08745","209","467","3228","0","0","2","13","0","0","1","3.30599","0","22","38","8964.0","692.3846019270453","724.2128676193329","4569.0","8964.0"
"1146","22","291.70001","113","97","63","1938","0","0","2","1528","0","0","1","3.32268","0","22","27","9469.0","804.6657118243587","875.6657118243587","5336.0","9469.0"
"1147","22","1333","980","58","2053","331","0","0","4","39","0","0","1","1.06389","0","22","16","3622.0","350.82509530205425","576.486433963393","1275.0","3622.0"
"1148","22","1918","1089","60","1472","5034","0","0","4","0","0","0","1","1.06535","0","22","2","5984.0","362.58611638980545","373.15590254754284","453.0","5984.0"
"1149","22","954","598","62","1511","668","0","0","4","0","0","0","1","1.12167","0","22","18","2178.0","188.86645171623135","364.3961253067358","1034.0","2178.0"
"115","3","74","17","26","205","513","0","0","1","0","0","0","1","2.67244","0","3","79","1055.0","152.95923071099855","424.95923071099855","712.0","1055.0"
"1150","22","898","541.06482","81","1465","720","0","0","4","32","0","0","1","1.37623","0","22","7","3806.0","420.5015261531249","421.78308329322897","1917.0","3806.0"
"1151","22","2220","1146","124","2183","0","0","0","5","1300","0","0","1","0.99643","0","22","0","2224.0","269.70657018897606","285.70657018897606","1247.0","2224.0"
"1152","22","2253","640","144","1552","1127","0","0","4","12","0","0","1","1.27298","0","22","0","2201.0","250.73795560396474","250.73795560396474","1300.0","2201.0"
"1153","22","1236","945","26","1575","16","0","0","5","0","0","0","1","1.03326","0","22","3","2407.0","299.85060678245975","317.85060678245975","1390.0","2407.0"
"1154","22","3642","2050.45581","117","2614","188","0","0","5","109","649","939","1","1.00124","0","22","7","2797.0","293.61434035391113","332.61434035391113","1211.0","2797.0"
"1155","22","3332","370","48","772","5","0","0","5","0","0","0","1","1.00055","0","22","0","6190.0","711.3938437872823","711.3938437872823","3012.0","6190.0"
"1156","22","3359","790","25","1387","99","0","0","5","0","0","0","1","1.02654","0","22","0","3829.0","507.5357307783418","507.763107902825","2366.0","3829.0"
"1157","22","3416","241","69","937","105","0","0","4","1232","0","0","1","1.22256","0","22","0","2797.0","289.43071072512845","289.43071072512845","1279.0","2797.0"
